"IDs","AUC"
"R_9sEFgcCs2wYObf3",14.4145871826631
"R_AbAmGaSlKCE6qPL",19.1008903321678
"R_Ao3zAuJbYPsDZg5",9.84031203720259
"R_Au5KSZKShiXw8vL",4.73154475978885
"R_aYktz1x1A4V9nIR",8.09164132796975
"R_b1n5iGPj9BW6RS9",13.9004721734254
"R_C45VTMSQ3PLqlMd",12.1050261611939
"R_C47MowPOcGZxH9v",10.7847625441476
"R_cDdyn0y53jPubpD",12.5299982125659
"R_D2cGW5R15498L0R",19.7120169491525
"R_DkQElmwfaghiefD",7.26194880127019
"R_DP0cnGjch8LxeWl",4.4878810559177
"R_e9Th8J7UDWD3Q7D",10.8022620102341
"R_eEclFHDX3vluwGl",5.23235681564077
"R_pMLt4bWJz56ROut",19.1742559747583
"R_PXLd6SRgNVPNYEp",19.6266812144213
"R_qVH1vYo9ebTicbD",17.1594644493797
"R_r0Fxub9gp2tgpMJ",7.02312124997659
"R_RD15pQbOzgh9K9j",19.6534210526316
"R_roGNEjkO7KGwNcR",5.23381478040248
"R_RRpgq5a5yw3EJAB",19.3634160401003
"R_T5yKXt6rPYFUc37",3.96175392769327
"R_Ti4SXfUVQvim6GJ",6.54983579011818
"R_Tke5vLb63Kh426l",7.07078949506385
"R_u526fw8YD7t3F17",5.32364783017538
"R_UgsRDoGGU3RyOfT",19.5842535211268
"R_V3AG9VAYVnaoP1T",8.14870161412507
"R_w77LWRQ6Tgl7lCx",9.86481939629083
"R_WjuHavTfKenYs9j",7.45641113717533
"R_x59Trl74V8MzbBT",4.87544508130568
"R_xbkRUNlQFQUoUSd",5.55334665028875
"R_Xk89YSJGqM55drr",19.327954954955
"R_XmEP56mTiXlonwR",6.48429912167993
"R_xmjtQsahdwJnGZX",11.7675227001584
"R_yqGyUnGl3zGqS41",4.89516536147092
"R_ZHHSsRaoiSxcqvD",20
"R_ZjHNQSeMD5xjHWN",11.2951567323504
"R_ZkmgxTr8Q4yijtv",12.9377261515168
