"IDs","bk2","AUC"
"R_3QJm13XVZT0bJN4",0,10.64588461575
"R_3RjDO4bIMIBqze9",0,16.6191513155024
"R_3RsET4XrCCN7tI7",0,14.4264408878398
"R_3RvJhcf0GInSph2",0,3.03751145098771
"R_3s1tRhSYosbpNIh",0,4.2514609854261
"R_4GdBsgUbrSyRpSh",0,7.47679360886213
"R_5BAIPSeUiy8crbb",0,9.30426044817927
"R_5BGWCyZLZJb5ra1",0,19.8719090909091
"R_5jtMSjVphNMWfip",0,9.92251345822567
"R_6yw6cMtA8V2kXG9",0,19.445
"R_7WYDubRh3VZ1e1z",0,2.75967638773788
"R_8Dj4fwado8mzXbz",0,7.72255876639472
"R_9SonxgQ3DbunHwd",0,15.1655529953917
"R_b1M4YDN6mDd7Yqd",0,0.802565557831183
"R_bC6Uvmmu6EES6pb",0,5.67649261404374
"R_BzCythOum0hYPct",0,10.4921590491702
"R_cAcuMbA8KxJ1gcN",0,3.58689053315728
"R_d50xmK9WldueCwp",0,9.45023191489362
"R_Dk4PjNEEaiPRli9",0,20
"R_egpsFGB7NnHARWN",0,17.803193550323
"R_ehBgs87OcSSAX0l",0,5.11477757434082
"R_ereJXWv1XOJYcql",0,19.54
"R_O2Q4CZUKVAi9tXH",0,5.14368974366515
"R_O8X6vrbQzvAf13r",0,10.8581825241147
"R_OKjhCwJJD5J9Uel",0,15.3878942509616
"R_OoOJuXPrQjUA2gp",0,19.2028909090909
"R_Pz9VoHcj6KZCYQp",0,17.7001504117133
"R_qD8F16ig4Lrnp05",0,14.388059761532
"R_qKJGLUjGzCRDicV",0,16.9421518518519
"R_RKYFzLUnTCzrshr",0,3.67513622880615
"R_Rn9KkTk7YKRWn3H",0,19.2758170959313
"R_sbBqJtE9GELWqkx",0,12.3370948829987
"R_sQZayl0EUqZsXg5",0,7.89832964459106
"R_T7nuPxs9KzqP2IF",0,5.07529271234574
"R_T8fTsBhME0MNGGR",0,7.41010506709614
"R_tR0m35B25SAGgZb",0,14.4082734865059
"R_tSAJ8k5MtmgXFlv",0,11.520171495937
"R_UcOZWs8LlrGpyfv",0,17.8923741215378
"R_UFoNvDXWInmpyhz",0,10.1460567309608
"R_VIH2bBMxyI1EOid",0,9.94894849599759
"R_WeMiJX6A2MLdq8x",0,1.45137074613803
"R_x8Wn3TWbmk2dw7n",0,4.59549364222313
"R_xauXWEKQIXtT9Yt",0,17.6439799593546
"R_Y0r2WCXMksPTdhT",0,3.47090759500863
"R_YQRZm88NYstDA5z",0,20
"R_ZmzJp1ndHwEnB7P",0,7.05093246593045
